,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
847,2006,1,4,22,54,37,-24.41,-50.7,0.0,20,4.1,1,I,4,13.0,PR,Telem.Borba,(IAG;UNESP-RC;IPT;UnB),3.7,0.33,0.7Mw(mb)+0.3Mw(Af)
848,2006,1,4,22,56,10,-24.43,-50.7,0.0,20,3.3,1,I,-,,PR,Telem.Borba,(IAG;UNESP-RC;IPT;UnB),3.0,0.3,Mw(mb)
849,2006,1,8,1,54,55,-10.07,-36.93,0.0,10,3.4,1,I,5,,AL,Sao Bras,(UnB;UFRN;IAG)2 replicas,3.1,0.3,Mw(mb)
850,2006,1,10,19,3,41,-21.64,-46.86,0.0,30,3.0,1,I,2,,SP,S.Jose do Rio Pardo,(IAG;UnB;UNESP-RC;IPT),2.7,0.3,Mw(mb)
851,2006,3,29,0,0,0,-14.18,-40.11,0.0,10,3.7,4,C,5-6,,BA,Jequieh,(UFRN) Oriente Novo; varios desde jan,3.3,0.6,Mw(mb(I0))
852,2006,4,22,2,29,19,-16.31,-53.3,0.0,50,2.8,5,I,-,,MT,Guiratinga,(IAG),3.3,0.6,Mw(mb(I0))
853,2006,5,14,14,7,46,-16.72,-42.58,0.0,5,3.0,1,I,-,,MG,Irapeh,(UnB) induzido por reservatorio,2.7,0.3,Mw(mb)
854,2006,5,20,4,26,5,-8.26,-36.16,6.0,4,3.9,2,I,5-6,,PE,Sao Caetano,(UFRN; Neto_etal.2009) RCBR-mR=3.77; IDC=,3.6,0.3,Mw(mb)
855,2006,6,8,16,29,13,4.88,-51.96,3.0,15,5.2,0,I,-,,AP,Caiena,(ISC;UnB;IAG) Oiapoque IIMM,4.9,0.3,Mw(mb)
856,2006,6,17,1,11,57,-22.23,-51.26,0.0,20,3.2,1,I,4-5,,SP,Regente Feijo,(IAG;UnB;UNESP-RC;IPT),2.9,0.3,Mw(mb)
857,2006,6,28,8,0,0,-4.41,-38.29,0.0,2,3.1,1,I,-,,CE,Cascavel,(UFRN),2.8,0.3,Mw(mb)
858,2006,7,20,17,20,0,-8.26,-36.16,0.0,5,3.3,1,I,-,,PE,Sao Caetano,(UFRN),3.0,0.3,Mw(mb)
859,2006,9,1,13,55,0,-8.26,-36.16,0.0,5,3.6,1,I,-,,PE,Sao Caetano,(UFRN),3.3,0.3,Mw(mb)
860,2006,9,2,23,56,0,-5.0,-35.0,0.0,30,4.0,1,I,-,,RN,Plataforma,(UFRN) sentido em Natal,3.7,0.3,Mw(mb)
861,2006,11,16,8,8,6,-22.28,-39.78,0.0,30,2.9,1,I,-,,RJ,Margem Cont.,(IAG),2.6,0.3,Mw(mb)
862,2006,11,26,2,11,57,-22.04,-40.25,0.0,30,3.6,1,I,-,,RJ,Margem Cont.,(IAG;UnB;IPT),3.3,0.3,Mw(mb)
863,2007,3,20,13,38,52,-8.264,-36.161,5.0,1,3.9,1,I,-,,PE,Sao Caetano,(UFRN=3.9;IAG=3.8; 5-sta local net),3.6,0.3,Mw(mb)
864,2007,3,20,14,22,0,-8.26,-36.16,0.0,5,3.4,1,I,-,,PE,Sao Caetano,(UFRN),3.1,0.3,Mw(mb)
865,2007,3,26,0,44,17,-8.26,-36.16,0.0,5,3.3,1,I,-,,PE,Sao Caetano,(UFRN=3.1;IAG=3.4),3.0,0.3,Mw(mb)
866,2007,3,27,19,45,49,-26.66,-46.88,0.0,30,3.5,1,I,-,,SC,Margem Cont.,(IAG;UnB;IPT),3.2,0.3,Mw(mb)
867,2007,3,28,15,4,0,-8.33,-36.58,0.0,30,2.8,1,I,-,,PE,Belo Jardim,(IAG=2.8),2.5,0.3,Mw(mb)
868,2007,4,15,2,0,0,-3.23,-40.13,0.0,30,2.9,1,I,-,,CE,Morrinhos,(UnB),2.6,0.3,Mw(mb)
869,2007,5,24,15,30,58,-15.0,-44.3,0.0,10,3.8,1,I,4-5,,MG,Januaria,(IAG=3.5;UnB=3.5USGS=4.4h=10G),3.5,0.3,Mw(mb)
870,2007,7,14,5,33,32,-19.56,-46.29,0.0,5,3.5,1,I,3-4,,MG,Ibia;Pratinha,(UnB;IAG;UNESP-RC;IPT),3.2,0.3,Mw(mb)
871,2007,7,18,0,0,0,-7.63,-72.67,0.0,5,3.0,4,C,4,,AC,CruzeiroSul,(IAG),2.4,0.6,Mw(mb(I0))
872,2007,9,13,10,40,2,-5.92,-38.05,5.0,2,3.2,1,I,5,,RN,Tabuleiro Grande,(UFRN;IAG:ITR=3.3),2.9,0.3,Mw(mb)
873,2007,10,25,22,30,0,-11.35,-41.66,0.0,20,3.0,4,C,4,,BA,Joao Dourado,(Jornal.....),2.4,0.6,Mw(mb(I0))
874,2007,10,31,21,15,55,3.5,-48.12,0.0,10,5.1,0,I,-,,AP,Plat. Continental,(USGS),4.8,0.3,Mw(mb)
875,2007,12,9,2,3,28,-15.033,-44.295,0.7,2,4.9,0,I,7,11.2,MG,Itacarambi,(ISC; Chimpliganond etal.2010) GT5,4.2,0.33,0.7Mw(mb)+0.3Mw(Af)
876,2008,2,2,22,36,0,-3.63,-40.51,0.0,5,2.8,1,I,-,,CE,S.da Meruoca,(UFRN)varios evts.,2.5,0.3,Mw(mb)
877,2008,2,8,19,5,14,-24.56,-44.89,0.0,20,3.9,1,I,-,,SP,Plataf.Cont.,(IAG;UNESP-RC),3.6,0.3,Mw(mb)
878,2008,2,17,1,57,0,-3.63,-40.51,0.0,5,3.7,1,I,4,,CE,S.da Meruoca,(UFRN;UnB),3.4,0.3,Mw(mb)
879,2008,2,29,4,48,0,-3.63,-40.51,0.0,5,3.7,1,I,-,,CE,S.da Meruoca,(UFRN) muitos tremores...,3.4,0.3,Mw(mb)
880,2008,3,1,0,58,0,-3.63,-40.51,0.0,5,3.4,1,I,-,,CE,S.da Meruoca,(UFRN),3.1,0.3,Mw(mb)
881,2008,3,5,20,3,0,-3.63,-40.51,0.0,5,2.8,1,I,-,,CE,S.da Meruoca,(UFRN),2.5,0.3,Mw(mb)
882,2008,3,19,22,12,0,-15.07,-44.09,1.0,5,3.8,1,I,-,,MG,Itacarambi,(UnB) mag Chimpliganond-2010,3.5,0.3,Mw(mb)
883,2008,3,21,6,20,0,-3.63,-40.51,0.0,5,2.9,1,I,-,,CE,S.da Meruoca,(UFRN),2.6,0.3,Mw(mb)
884,2008,4,4,17,7,0,-3.63,-40.51,0.0,5,3.5,1,I,-,,CE,S.da Meruoca,(UFRN) mag=3.9? mR=2.8; conferir!!!,3.2,0.3,Mw(mb)
885,2008,4,20,6,39,54,-24.8,-40.89,0.0,10,3.6,1,I,-,,SP,Plataf.Continental,(IAG;IPT),3.3,0.3,Mw(mb)
886,2008,4,23,0,0,48,-25.7,-45.41,17.0,10,5.2,1,I,4-5,720.,SP,Plataforma Continental,(IAG;IPT;UnB;UNESP),5.0,0.33,0.7Mw(mb)+0.3Mw(Af)
887,2008,5,1,8,36,0,-3.63,-40.51,0.0,5,3.1,1,I,-,,CE,S.da Meruoca,(UFRN),2.8,0.3,Mw(mb)
888,2008,5,3,9,9,55,-22.48,-39.89,0.0,30,3.4,1,I,-,,RJ,Plataf.Cont.,(IAG;IPT),3.1,0.3,Mw(mb)
889,2008,5,21,19,23,59,-3.63,-40.51,5.0,5,3.8,2,I,-,,CE,S.da Meruoca,(UFRN;UnB;IAG) mb_ISC=3.65 mR_IAG=3.92,3.5,0.3,Mw(mb)
890,2008,5,21,19,28,16,-3.63,-40.51,0.0,5,3.9,1,I,-,,CE,S.da Meruoca,(UFRN;UnB;IAG) mesmo evento?,3.6,0.3,Mw(mb)
891,2008,5,22,21,1,0,-3.63,-40.51,0.0,5,3.0,1,I,-,,CE,S.da Meruoca,(UFRN),2.7,0.3,Mw(mb)
892,2008,6,14,12,0,0,-28.9,-51.35,0.0,1,3.3,1,I,-,,RS,NovaRoma Sul,(UFRS),3.0,0.3,Mw(mb)
893,2008,7,31,3,12,6,-13.73,-44.73,0.0,45,2.9,1,I,-,,BA,Correntina,(UnB),2.6,0.3,Mw(mb)
894,2008,9,29,15,19,20,-19.9,-47.33,0.0,20,3.1,1,I,4-5,,MG,Uberaba,(UnB),2.8,0.3,Mw(mb)
895,2008,10,7,21,51,9,-17.17,-56.24,0.0,20,3.4,1,I,-,,MT,B.de Melgaco,(UnB),3.1,0.3,Mw(mb)
896,2008,11,10,6,56,57,-29.02,-51.06,0.0,1,3.0,1,I,3,,RS,Caxias do Sul,(UFRS),2.7,0.3,Mw(mb)
897,2008,12,19,0,0,0,-3.63,-40.51,0.0,5,3.5,1,I,-,,CE,S.da Meruoca,(UFRN),3.2,0.3,Mw(mb)
898,2008,12,19,22,55,20,-31.66,-49.58,0.0,25,3.9,0,I,-,,RS,Plataforma Torres,(ISC),3.6,0.3,Mw(mb)
899,2009,2,9,14,45,0,-3.63,-40.51,0.0,5,3.5,1,I,-,,CE,S.da Meruoca,(UFRN;UnB),3.2,0.3,Mw(mb)
900,2009,3,9,14,26,20,-20.56,-44.87,0.0,50,2.8,5,I,-,,MG,CARMO DA MATA,(UnB),3.2,0.3,Mw(mb)
901,2009,3,29,20,0,0,-19.8,-44.0,0.0,50,2.8,5,I,-,,MG,SAO JOSE DA LAPA,(UnB),3.2,0.3,Mw(mb)
902,2009,4,3,3,39,51,-11.65,-48.61,5.0,30,3.2,1,I,-,,TO,Peixe,(UnB),2.9,0.3,Mw(mb)
903,2009,6,8,17,16,4,-24.74,-48.12,0.0,50,2.9,5,I,-,,SP,CAJATI,(IAG),2.9,0.3,Mw(mb)
904,2009,6,15,22,15,45,-18.49,-55.8,6.0,10,4.8,0,I,5,270.,MS,Coxim,(USGS;IAG),4.5,0.33,0.7Mw(mb)+0.3Mw(Af)
905,2009,6,30,6,39,56,-11.62,-56.7,5.0,10,3.0,1,I,-,,MT,Tabapora,(UnB),2.7,0.3,Mw(mb)
906,2009,7,24,6,7,13,-11.62,-56.7,5.0,10,3.1,1,I,-,,MT,Tabapora,(UnB),2.8,0.3,Mw(mb)
907,2009,7,31,20,55,21,-3.62,-40.53,5.0,10,3.4,1,I,-,,CE,Alcantaras,(UnB),3.1,0.3,Mw(mb)
908,2009,9,7,0,18,0,-23.45,-45.51,0.0,2,3.3,1,I,-,,SP,Paraibuna,(IPT;UNESP-RC;IAG-ESAR),3.0,0.3,Mw(mb)
909,2009,9,9,4,11,46,-1.9,-61.43,0.0,50,4.2,1,I,-,,RR,Roraima,(UnB),3.9,0.3,Mw(mb)
910,2009,9,10,16,59,57,-24.93,-43.85,0.0,40,3.1,1,I,-,,SP,Plataforma continental,(ESAR),2.8,0.3,Mw(mb)
911,2009,9,23,5,27,37,-15.06,-44.26,5.0,5,2.8,1,I,-,,MG,Itacarambi,(UnB),2.5,0.3,Mw(mb)
912,2009,10,23,8,13,51,-24.17,-43.2,0.0,40,3.0,1,I,-,,RJ,Plataforma continental,(ESAR),2.7,0.3,Mw(mb)
913,2009,11,10,17,40,52,-27.5,-56.7,15.0,30,3.5,5,I,3,,AR,Sur de Paraguay,(SJA/INPRES),2.7,0.3,Mw(mb)
914,2009,11,26,22,55,45,0.76,-43.0,5.0,20,4.0,1,I,-,,MA,PlatafContin.,(IAG),3.7,0.3,Mw(mb)
915,2009,11,29,22,5,15,-26.16,-57.63,32.0,30,4.5,5,I,3,,PY,Lag.Ypoa; Paraguay,(SJA/INPRES),3.7,0.3,Mw(mb)
916,2009,12,2,2,39,31,-10.37,-52.71,5.0,20,3.5,1,I,-,,MT,Sta.Cruz Xingu,(UnB),3.2,0.3,Mw(mb)
917,2009,12,21,8,25,0,-3.55,-40.65,0.0,10,2.9,1,I,-,,CE,Coreauh,(UFRN),2.6,0.3,Mw(mb)
918,2009,12,30,16,41,33,-2.33,-59.76,5.0,20,3.0,1,I,-,,AM,PresFigueired,(UnB),2.7,0.3,Mw(mb)
919,2010,1,9,18,18,39,-5.55,-35.66,10.0,5,3.5,1,I,-,,RN,Taipu,(UFRN;UnB),3.2,0.3,Mw(mb)
920,2010,1,11,15,54,30,-5.55,-35.66,10.0,5,4.3,1,I,-,,RN,Taipu,(UFRN;UnB;ISC-mb4.1)Sent=Natal;Recife;Par,4.0,0.3,Mw(mb)
921,2010,1,13,2,6,52,-11.62,-56.7,5.0,10,2.9,1,I,-,,MT,Porto Gauchos,(UnB) ~40km Tabapora-MT,2.6,0.3,Mw(mb)
922,2010,1,22,7,48,8,-14.4,-47.81,0.0,10,3.2,1,I,-,,GO,Colinas doSul,(UnB),2.9,0.3,Mw(mb)
923,2010,1,25,2,17,17,-16.22,-44.91,0.0,20,3.3,1,I,-,,MG,IcaraideMinas,(UnB),3.0,0.3,Mw(mb)
924,2010,1,28,3,45,29,-19.5,-43.95,0.0,10,3.6,1,I,-,,MG,BeloHorizonte,(UnB),3.3,0.3,Mw(mb)
925,2010,2,24,1,4,13,-11.62,-56.7,5.0,10,2.8,1,I,-,,MT,PortoGauchos,(UnB) ~40km de Tabapora-MT,2.5,0.3,Mw(mb)
926,2010,2,27,9,35,5,-11.62,-56.7,5.0,40,3.5,1,I,-,,MT,PortoGauchos,(UnB) ~40km Tabapora-MT,3.2,0.3,Mw(mb)
927,2010,2,28,2,21,0,-8.3,-36.15,0.0,5,2.9,1,I,-,,PE,Sao Caetano,(UFRN),2.6,0.3,Mw(mb)
928,2010,3,8,23,14,0,-8.46,-36.78,0.0,5,3.2,1,I,-,,PE,Alagoinha,(UFRN),2.9,0.3,Mw(mb)
929,2010,3,25,10,39,0,-5.97,-36.79,0.0,5,2.9,1,I,-,,RN,Sant.do Matos,(UFRN),2.6,0.3,Mw(mb)
930,2010,4,18,23,41,0,-8.57,-35.91,0.0,5,2.8,1,I,-,,PE,Cupira,(UFRN),2.5,0.3,Mw(mb)
931,2010,4,19,15,5,24,-27.03,-44.78,0.0,90,2.9,1,I,-,,SC,Plataforma continental,(ESAR),2.6,0.3,Mw(mb)
932,2010,4,25,23,9,50,-6.82,-72.98,17.0,30,4.9,0,I,-,,AC,Acre,(USGS),4.6,0.3,Mw(mb)
933,2010,4,26,4,33,0,-29.16,-51.37,0.0,20,3.5,1,I,-,,RS,Caxias do Sul,(IPT),3.2,0.3,Mw(mb)
934,2010,5,5,5,17,12,-21.19,-43.98,0.0,30,2.9,1,I,-,,MG,Barroso,(UnB),2.6,0.3,Mw(mb)
935,2010,6,1,6,58,47,-13.2,-39.5,0.0,10,3.2,1,I,-,,BA,Mutuipe,(UnB),2.9,0.3,Mw(mb)
936,2010,6,3,11,22,37,-19.56,-44.06,0.0,10,2.9,1,I,-,,MG,Matozinhos,(UnB),2.6,0.3,Mw(mb)
937,2010,7,1,16,44,19,-22.43,-40.65,0.0,50,3.8,1,I,4,,RJ,Plataforma continental,(IAG) sentido plataf Pampo+Enchova; reg.,3.5,0.3,Mw(mb)
938,2010,8,21,12,57,5,-21.75,-50.01,0.0,40,3.0,1,I,4,,SP,Getulina;Macuco,(IAG),2.7,0.3,Mw(mb)
939,2010,9,29,19,54,43,-16.73,-43.86,0.0,10,2.8,1,I,4,,MG,Montes Claros,(UnB) Origin Time to be confirmed,2.5,0.3,Mw(mb)
940,2010,10,4,19,7,1,-13.72,-49.16,5.0,5,3.6,1,I,4,,GO,Mara Rosa,(IAG;UnB),3.3,0.3,Mw(mb)
941,2010,10,8,20,16,54,-13.771,-49.16,1.4,3,5.0,0,I,6,185.,GO,Mara Rosa,(UnB: rel.loc. with 2011-Feb-26; ISC mb5.,4.6,0.33,0.7Mw(mb)+0.3Mw(Af)
942,2010,10,8,20,25,18,-13.77,-49.16,2.0,3,4.2,0,I,6,,GO,Mara Rosa,(UnB),3.9,0.3,Mw(mb)
943,2010,10,24,19,1,40,-25.46,-47.6,0.0,80,2.8,1,I,-,,SP,Plataforma Continental,(ESAR),2.5,0.3,Mw(mb)
944,2010,10,26,5,34,18,-13.79,-49.99,0.0,20,3.5,1,I,-,,MT,StaCruzXingu,(UnB),3.2,0.3,Mw(mb)
945,2010,10,31,0,0,0,-3.63,-40.51,5.0,5,3.1,1,I,-,,CE,S.da Meruoca,(UFRN),2.8,0.3,Mw(mb)
946,2010,11,28,10,21,20,-7.47,-50.4,0.0,20,4.2,1,I,-,,PA,Redencao,(UnB;IAG),3.9,0.3,Mw(mb)
947,2010,12,4,11,26,0,-5.46,-36.1,5.0,3,3.1,1,I,-,,RN,Pedra Preta,(UFRN),2.8,0.3,Mw(mb)
948,2010,12,4,23,58,0,-5.46,-36.1,5.0,3,3.0,1,I,-,,RN,Pedra Preta,(UFRN),2.7,0.3,Mw(mb)
949,2010,12,5,0,1,0,-5.46,-36.1,5.0,3,3.1,1,I,-,,RN,Pedra Preta,(UFRN),2.8,0.3,Mw(mb)
950,2010,12,9,21,29,14,-13.4,-46.32,0.0,30,3.7,1,I,-,,GO,Sao Domingos,(UnB;IAG),3.4,0.3,Mw(mb)
951,2011,1,8,11,49,38,-13.52,-48.84,0.0,30,4.1,1,I,-,,GO,Trombas-Formosa,(UnB;IAG),3.8,0.3,Mw(mb)
952,2011,2,26,22,52,12,-13.78,-49.21,0.0,20,3.4,1,I,-,,GO,Estrela Norte,(UnB),3.1,0.3,Mw(mb)
953,2011,2,27,7,41,0,-29.14,-51.1,0.0,20,3.1,1,I,-,,RS,Caxias do Sul,(IPT),2.8,0.3,Mw(mb)
954,2011,3,2,19,17,16,-11.45,-48.71,0.0,20,3.2,1,I,-,,TO,Alianca do Tocantins,(UnB),2.9,0.3,Mw(mb)
955,2011,3,4,6,59,45,-13.78,-49.21,0.0,10,3.6,1,I,-,,GO,Estrela Norte,(UnB mag=3.7; IAG mag=3.5) Check O.T.,3.3,0.3,Mw(mb)
956,2011,3,4,7,2,7,-13.78,-49.21,0.0,10,2.8,1,I,-,,GO,Estrela Norte,(UnB),2.5,0.3,Mw(mb)
957,2011,3,4,7,5,35,-13.78,-49.21,0.0,10,3.1,1,I,-,,GO,Estrela Norte,(UnB),2.8,0.3,Mw(mb)
958,2011,3,5,23,28,45,-16.701,-43.883,0.0,1,3.3,1,I,-,,MG,Montes Claros,(IAG; UnB) Lg relative epic and OT,3.0,0.3,Mw(mb)
959,2011,3,9,12,2,55,-15.73,-51.1,0.0,20,3.6,1,I,-,,GO,Santa Fé de Goiás,(UnB;IAG),3.3,0.3,Mw(mb)
960,2011,4,25,7,19,23,-0.46,-19.98,10.0,10,4.7,0,I,-,,PE,C.Mid Atl.Ridge,(USGS) perto F.Noronha,4.4,0.3,Mw(mb)
961,2011,4,30,8,16,22,-11.17,-48.7,0.0,30,3.6,1,I,-,,TO,Brejinho de Nazare,(UnB),3.3,0.3,Mw(mb)
962,2011,6,19,7,9,20,-14.69,-49.77,0.0,20,3.5,1,I,-,,GO,Pilar de Goiás,(UnB NO=14;IAG),3.2,0.3,Mw(mb)
963,2011,7,27,18,25,50,-22.18,-39.55,0.0,50,3.2,1,I,3,,RJ,Plataforma Continental,(IAG;ESAR),2.9,0.3,Mw(mb)
964,2011,8,1,6,18,35,-25.05,-52.83,0.0,30,2.8,1,I,-,,PR,Guaraniacu,(IAG;IPT),2.5,0.3,Mw(mb)
965,2011,8,8,13,53,0,-3.63,-40.51,5.0,5,3.0,1,I,-,,CE,S.da Meruoca,(UFRN),2.7,0.3,Mw(mb)
966,2011,8,14,16,50,10,-21.17,-44.95,0.0,10,3.2,1,I,-,,MG,Ijaci; Funil,(UnB;IAG) Induzido?,2.9,0.3,Mw(mb)
967,2011,8,18,21,14,54,-30.44,-49.96,0.0,50,3.3,1,I,-,,RS,Plataforma Continental,(IAG;IPT),3.0,0.3,Mw(mb)
968,2011,10,14,7,17,6,-20.63,-45.76,0.0,20,2.8,1,I,-,,MG,Santo Inacio,(IAG;ESAR;UNESP-RC;IPT),2.5,0.3,Mw(mb)
969,2011,10,22,6,0,0,-10.48,-51.76,0.0,50,3.0,4,C,3-4,,MT,Confresa,(www.acessenoticias.com.br) 03hs local,2.4,0.6,Mw(mb(I0))
970,2011,10,22,19,29,49,-20.1,-43.94,0.0,5,3.4,1,I,4-5,,MG,Nova Lima,(IAG;UnB;ESAR;UNESP-RC),3.1,0.3,Mw(mb)
971,2011,10,24,12,38,0,-5.54,-35.75,0.0,5,2.8,1,I,-,,RN,Joao Camara,(UFRN),2.5,0.3,Mw(mb)
972,2011,12,3,15,49,0,-8.96,-40.47,0.0,20,3.3,1,I,4-5,,PE,Petrolina,(UFRN),3.0,0.3,Mw(mb)
973,2011,12,6,7,45,28,-14.32,-50.23,0.0,20,3.4,1,I,-,,GO,Nova Crixás,(UnB; IAG),3.1,0.3,Mw(mb)
974,2011,12,15,13,1,54,-16.59,-40.7,0.0,20,3.6,4,I,3-4,,MG,Felisburgo; SA.Jacinto,(IAG;UnB),2.4,0.6,Mw(mb(I0))
975,2012,1,22,7,10,38,-13.84,-49.07,1.0,5,2.9,1,I,3,,GO,Mara Rosa,(UnB NO=10),2.6,0.3,Mw(mb)
976,2012,2,21,6,36,25,-23.38,-45.66,0.0,5,3.3,1,I,-,,SP,Paraibuna,(IAG;IPT),3.0,0.3,Mw(mb)
977,2012,2,24,21,50,21,-12.05,-63.5,0.0,100,3.6,1,I,-,,RO,S.Fco Guapore,(UnB SAML),3.3,0.3,Mw(mb)
978,2012,3,14,10,40,49,-28.16,-48.13,0.0,30,3.1,1,I,-,,SC,Plataf. Continental,(IAG;IPT),2.8,0.3,Mw(mb)
979,2012,3,27,7,5,16,-15.64,-54.32,0.0,20,3.1,1,I,-,,MT,Primavera do Leste,(UnB),2.8,0.3,Mw(mb)
980,2012,3,29,17,15,0,-8.25,-36.16,0.0,5,3.1,1,I,-,,PE,Sao Caetano,(UFRN),2.8,0.3,Mw(mb)
981,2012,3,31,16,9,53,-13.45,-49.95,0.0,30,3.7,1,I,-,,GO,S.Miguel Araguaia,(UnB),3.4,0.3,Mw(mb)
982,2012,4,2,5,21,16,-16.59,-43.9,0.0,10,2.8,1,I,-,,MG,Montes Claros,(IAG) sentido,2.5,0.3,Mw(mb)
983,2012,4,15,18,4,0,-5.46,-36.1,0.0,5,2.8,1,I,-,,RN,Pedra Preta,(UFRN),2.5,0.3,Mw(mb)
984,2012,4,21,6,36,25,-23.38,-45.66,0.0,5,3.2,1,I,-,,SP,Paraibuna,(IAG;IPT),2.9,0.3,Mw(mb)
985,2012,4,22,0,0,0,-11.4,-41.8,0.0,50,2.8,1,I,-,,BA,Lapão,(UnB),2.5,0.3,Mw(mb)
986,2012,4,24,1,34,13,-13.77,-49.11,0.0,10,3.2,0,I,3,,GO,Estrela do Norte,(UnB;IAG),2.9,0.3,Mw(mb)
987,2012,5,19,13,41,22,-16.695,-43.885,1.1,2,4.0,1,I,5-6,,MG,Montes Claros,(IAG;UnB;USGS) rel.loc. P S wrt 12-09-12,3.7,0.3,Mw(mb)
988,2012,5,20,19,32,39,-16.7,-43.89,0.0,5,2.8,1,I,4,,MG,Montes Claros,(UnB;IAG),2.5,0.3,Mw(mb)
989,2012,5,22,17,9,6,-16.7,-43.89,0.0,5,3.0,1,I,-,,MG,Montes Claros,(UnB;IAG),2.7,0.3,Mw(mb)
990,2012,6,10,10,38,19,-25.4,-45.42,0.0,40,2.8,1,I,-,,SP,Plataforma continental,(ON),2.5,0.3,Mw(mb)
991,2012,6,29,12,18,19,-2.26,-49.35,0.0,40,3.6,1,I,4-5,,PA,Baiao,(UnB),3.3,0.3,Mw(mb)
992,2012,7,19,14,59,7,-15.38,-51.17,0.0,20,4.0,1,I,-,,GO,Britânia,(UnB; IAG),3.7,0.3,Mw(mb)
993,2012,7,28,12,49,28,-15.43,-51.16,0.0,20,3.8,1,I,-,,GO,Britânia,(UnB),3.5,0.3,Mw(mb)
994,2012,8,2,7,14,0,-3.63,-40.51,0.0,5,2.9,1,I,-,,CE,Serra da Meruoca,(UFRN;UnB),2.6,0.3,Mw(mb)
995,2012,8,16,14,14,30,-0.33,-18.81,10.0,10,5.3,0,I,-,,PE,C.Mid-Atl.Ridge,(USGS) Perto F.Noronha,5.0,0.3,Mw(mb)
996,2012,8,17,0,12,10,-0.33,-18.71,10.0,10,5.2,0,I,-,,PE,C.Mid-Atl.Ridge,(USGS) Perto F.Noronha,4.9,0.3,Mw(mb)
997,2012,9,12,18,6,0,-5.46,-36.1,0.0,5,3.0,1,I,-,,RN,Pedra Preta,(UFRN),2.7,0.3,Mw(mb)
998,2012,9,12,23,56,45,-16.704,-43.884,0.5,1,2.9,1,I,4,,MG,Montes Claros,(IAG;UnB) 9-sta local net; hypodd,2.6,0.3,Mw(mb)
999,2012,9,14,22,10,4,-19.95,-44.84,0.0,100,2.9,1,I,-,,MG,Sao Goncalo do Parah,(IAG),2.6,0.3,Mw(mb)
1000,2012,9,23,22,37,28,-0.58,-19.91,10.0,10,4.8,0,I,-,,PE,C.Mid-Atl.Ridge,(USGS) Perto F.Noronha,4.5,0.3,Mw(mb)
1001,2012,10,6,22,52,0,-5.46,-36.1,0.0,5,2.8,1,I,-,,RN,Pedra Preta,(UFRN),2.5,0.3,Mw(mb)
1002,2012,11,17,0,41,0,-5.52,-35.75,0.0,5,2.8,1,I,-,,RN,Joao Camara,(UFRN),2.5,0.3,Mw(mb)
1003,2012,11,25,22,57,42,-9.46,-63.02,0.0,40,4.7,0,I,3,,RO,Ariquemes,(USGS) epic mb NEIC,4.4,0.3,Mw(mb)
1004,2012,12,6,4,49,41,-3.15,-50.9,0.0,10,3.0,5,I,-,,PA,50 km de Anapu,(UnB NO=9; IAG),4.4,0.3,Mw(mb)
1005,2012,12,8,18,52,34,-13.56,-49.18,0.0,50,3.8,1,I,-,,GO,Mara Rosa Porangatu,(UnB),3.5,0.3,Mw(mb)
1006,2012,12,19,4,54,38,-16.697,-43.879,1.4,1,3.5,1,I,5,,MG,Montes Claros,(IAG) 4-sta net; corr. HYPODD,3.2,0.3,Mw(mb)
1007,2012,12,19,5,31,16,-16.7,-43.882,1.3,1,3.5,1,I,5,,MG,Montes Claros,(IAG) 4-sta net; corr. HYPODD,3.2,0.3,Mw(mb)
1008,2012,12,21,12,37,0,-5.46,-36.1,0.0,5,3.6,1,I,-,,RN,Pedra Preta,(UFRN),3.3,0.3,Mw(mb)
1009,2012,12,23,4,26,17,-18.41,-56.79,0.0,20,3.4,1,I,-,,MS,Mato Grosso do Sul,(UnB; IAG),3.1,0.3,Mw(mb)
1010,2013,1,5,12,18,45,-5.45,-36.14,0.0,10,3.3,1,I,-,,RN,Pedra Preta,(RSBR;IAG; MR-SC3),3.0,0.3,Mw(mb)
1011,2013,1,22,3,59,55,-16.72,-54.36,0.0,30,3.2,5,I,-,,MT,Pedra Preta,(UnB) (*),3.0,0.3,Mw(mb)
1012,2013,1,25,11,38,58,-8.44,-50.07,0.0,20,2.8,1,I,-,,PA,Sta Maria das Barreiras,(UnB NO=16) (*),2.5,0.3,Mw(mb)
1013,2013,2,3,8,47,51,-21.85,-46.89,0.0,5,2.9,1,I,3-4,,SP,Vargem Grande do Sul,(RSBR;IAG; MR-SC3),2.6,0.3,Mw(mb)
1014,2013,2,5,1,2,56,-21.19,-42.56,0.0,6,3.0,1,I,-,,MG,Mirai,(RSBR;IAG; MR-SC3),2.7,0.3,Mw(mb)
1015,2013,2,19,12,19,43,-11.57,-48.22,0.0,20,2.8,1,I,-,,TO,Sta Rosa do Tocantins,(RSBR;IAG; MR-SC3),2.5,0.3,Mw(mb)
1016,2013,2,20,18,44,42,-18.76,-44.91,0.0,10,2.9,1,I,-,,MG,Felixlandia,(RSBR;IAG; MR-SC3),2.6,0.3,Mw(mb)
